ID,User-ID,Book-ID,Book-Rating,Age,Location,Book-Title,Book-Author,Year-Of-Publication,Publisher
TRAIN_000068,USER_00014,BOOK_004179,0,35,"binghamton, new york, usa",Empire Falls,Richard Russo,2002,Vintage Books USA
TRAIN_000069,USER_00014,BOOK_024496,0,35,"binghamton, new york, usa",Shameful Admissions: The Losing Battle to Serve Everyone in Our Universities (Jossey-Bass Higher and Adult Education Series),Angela Browne Miller,1996,Jossey-Bass
TRAIN_000070,USER_00014,BOOK_042959,6,35,"binghamton, new york, usa",Devil's Flu: The World's Deadliest Influenza Epidemic and the Scientific Hunt for the Virus That Caused It,Pete Davies,2000,Owl Books (NY)
TRAIN_000071,USER_00014,BOOK_048230,5,35,"binghamton, new york, usa",OBSESSION : THE FBIS LEGENDARY PROFILER PROBES THE PSYCHES OF KILLERS RAPISTS AND STALKER,John E. Douglas,1998,Scribner
TRAIN_000072,USER_00014,BOOK_061853,0,35,"binghamton, new york, usa",Einstein's Bridge,John Cramer,1998,Eos
TRAIN_000073,USER_00014,BOOK_111012,2,35,"binghamton, new york, usa",The Notebook,Nicholas Sparks,1998,Warner Books
TRAIN_000074,USER_00014,BOOK_115039,0,35,"binghamton, new york, usa",Monster : A Novel (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN,2000,Ballantine Books
TRAIN_000075,USER_00014,BOOK_156099,0,35,"binghamton, new york, usa",Chain Of Command,Walter Goff,1998,WestBow Press
TRAIN_000076,USER_00014,BOOK_197924,0,35,"binghamton, new york, usa",War of the Rats: A Novel,David L. Robbins,2000,Bantam Books
TRAIN_000077,USER_00014,BOOK_214073,6,35,"binghamton, new york, usa",Arthritis: The Doctor's Cure,Michael Loes,1999,McGraw-Hill/Contemporary Books
TRAIN_000078,USER_00014,BOOK_240793,5,35,"binghamton, new york, usa",Reason for Hope : A Spiritual Journey,Jane Goodall,2000,Warner Books
TRAIN_000079,USER_00015,BOOK_003751,8,20,"oxford, oxfordshire, united kingdom",Napoleon of Notting Hill (Wordsworth Collection),G. K. Chesterton,1998,NTC/Contemporary Publishing
TRAIN_000080,USER_00016,BOOK_110209,7,35,"brighton, michigan, usa","The Shelters of Stone (Earth's Children Series, No 5)",JEAN M. AUEL,2002,Crown
TRAIN_000081,USER_00017,BOOK_054825,0,31,"binghamton, new york, usa","Tale of Despereaux: Being the Story of a Mouse, a Princess, Some Soup, and a Spool of Thread (Newbery Medal Book)",Kate Dicamillo,2003,Candlewick Press (MA)
TRAIN_000082,USER_00017,BOOK_058869,5,31,"binghamton, new york, usa",The Mammoth Book of Comic Fantasy,Michael Ashley,1998,Carroll &amp; Graf Publishers
TRAIN_000083,USER_00017,BOOK_074461,0,31,"binghamton, new york, usa",Fahrenheit 451,RAY BRADBURY,1987,Del Rey
TRAIN_000084,USER_00017,BOOK_092781,0,31,"binghamton, new york, usa",Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
TRAIN_000085,USER_00017,BOOK_097861,0,31,"binghamton, new york, usa",Wild Animus,Rich Shapero,2004,Too Far
TRAIN_000086,USER_00017,BOOK_137868,0,31,"binghamton, new york, usa",Sphere,MICHAEL CRICHTON,1988,Ballantine Books
TRAIN_000087,USER_00017,BOOK_155948,0,31,"binghamton, new york, usa",In Country RI,Bobbie Ann Mason,1986,Perennial
TRAIN_000088,USER_00017,BOOK_163317,0,31,"binghamton, new york, usa",Dance of the Tiger,Bjorn Kurten,1983,Berkley Pub Group
TRAIN_000089,USER_00017,BOOK_170774,8,31,"binghamton, new york, usa","Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,Gotham Books
TRAIN_000090,USER_00017,BOOK_189858,5,31,"binghamton, new york, usa",Imzadi II Triangle (Star Trek The Next Generation),Peter David,1998,Star Trek
TRAIN_000091,USER_00017,BOOK_202769,8,31,"binghamton, new york, usa","No Heroes, No Villains: The Story of a Murder Trial",Steven Phillips,1978,Vintage Books USA
TRAIN_000092,USER_00017,BOOK_215038,10,31,"binghamton, new york, usa",Good Faeries Bad Faeries,Brian Froud,1998,Simon &amp; Schuster
TRAIN_000093,USER_00017,BOOK_221127,0,31,"binghamton, new york, usa",Congo,Michael Crichton,1995,Ballantine Books
TRAIN_000094,USER_00018,BOOK_123793,0,31,"wiesloch, baden-wuerttemberg, germany",Cecile.,Theodor Fontane,1995,Aufbau Tb
TRAIN_000095,USER_00018,BOOK_247956,8,31,"wiesloch, baden-wuerttemberg, germany",Vogelbeerbaum. AusgewÃ?Â¤hlte Gedichte.,Marina Zwetajewa,1999,Dtv
TRAIN_000096,USER_00019,BOOK_190023,6,35,"alameda, california, usa",Pale Phoenix,Kathryn Reiss,1997,Point
TRAIN_000097,USER_00020,BOOK_084799,8,46,"bellevue, washington, usa",Touching the Void,Joe Simpson,1989,Harpercollins
TRAIN_000098,USER_00021,BOOK_011110,0,35,"munich, bayern, germany","Frau Rettich, die Czerni und ich: Eine Sommerverlobung",Simone Borowiak,1992,Eichborn
TRAIN_000099,USER_00021,BOOK_050681,0,35,"munich, bayern, germany",Vaterland.,Robert Harris,1994,Heyne
TRAIN_000100,USER_00021,BOOK_072154,5,35,"munich, bayern, germany","Happy Birthday, TÃ?Â¼rke. Ein Kayankaya- Roman.",Jakob Arjouni,1987,Diogenes Verlag
TRAIN_000101,USER_00021,BOOK_081084,0,35,"munich, bayern, germany",Die wilde Geschichte vom Wassertrinker. Roman.,John Irving,1992,Diogenes Verlag
TRAIN_000102,USER_00021,BOOK_137639,9,35,"munich, bayern, germany",Feuerkind. Thriller.,Stephen King,2003,LÃ?Â¼bbe
TRAIN_000103,USER_00021,BOOK_216798,0,35,"munich, bayern, germany",Stiller Trost.,Margaret Millar,1994,Diogenes Verlag
TRAIN_000104,USER_00022,BOOK_164124,2,47,"boise, idaho, usa",Passenger to Frankfurt,Agatha Christie,2003,St. Martin's Minotaur
TRAIN_000105,USER_00022,BOOK_229600,6,47,"boise, idaho, usa",The Cat Who Brought Down the House,Lilian Jackson Braun,2004,Jove Books
TRAIN_000106,USER_00023,BOOK_005447,0,49,"conway, south carolina, usa",The Gangster We Are All Looking For,Le Thi Diem Thuy,2003,Knopf
TRAIN_000107,USER_00023,BOOK_013424,10,49,"conway, south carolina, usa","The Most of George Burns: A Collection Consisting of Living It Up, the Third Time Around, Dr. Burn's Prescription for Happiness, and Dear George",George Burns,1995,Bbs Pub Corp
TRAIN_000108,USER_00023,BOOK_024648,0,49,"conway, south carolina, usa",Sky of Stone,Homer Hickam,2002,Dell Publishing Company
TRAIN_000109,USER_00023,BOOK_024775,0,49,"conway, south carolina, usa",The Coalwood Way,Homer Hickam,2000,Delacorte Press
TRAIN_000110,USER_00023,BOOK_033339,0,49,"conway, south carolina, usa",Harriet Tubman: The Road to Freedom,Catherine Clinton,2004,"Little, Brown"
TRAIN_000111,USER_00023,BOOK_033483,0,49,"conway, south carolina, usa",Beautiful Child,Torey L. Hayden,2002,William Morrow &amp; Company
TRAIN_000112,USER_00023,BOOK_060025,0,49,"conway, south carolina, usa",A Blade of Grass : A Novel,Lewis DeSoto,2003,Ecco
TRAIN_000113,USER_00023,BOOK_067586,0,49,"conway, south carolina, usa","My Sister's Keeper : A Novel (Picoult, Jodi)",Jodi Picoult,2004,Atria
TRAIN_000114,USER_00023,BOOK_077046,0,49,"conway, south carolina, usa",The Songcatcher: A Ballad Novel,Sharyn McCrumb,2001,Dutton Books
TRAIN_000115,USER_00023,BOOK_080573,0,49,"conway, south carolina, usa",Suttree (Vintage Contemporaries),Cormac McCarthy,1992,Vintage Books USA
TRAIN_000116,USER_00023,BOOK_084159,10,49,"conway, south carolina, usa",Peace Like a River,Leif Enger,2001,Grove/Atlantic
TRAIN_000117,USER_00023,BOOK_088124,0,49,"conway, south carolina, usa",Ghost Riders,Sharyn McCrumb,2003,Dutton Books
TRAIN_000118,USER_00023,BOOK_102320,0,49,"conway, south carolina, usa",Child of God (Vintage International),Cormac McCarthy,1993,Vintage Books USA
TRAIN_000119,USER_00023,BOOK_121631,0,49,"conway, south carolina, usa",Emma's Gift: A Novel,Leisha Kelly,2003,Revell
TRAIN_000120,USER_00023,BOOK_124518,8,49,"conway, south carolina, usa",Miss Julia Throws a Wedding,Ann B. Ross,2002,Viking Books
TRAIN_000121,USER_00023,BOOK_129788,0,49,"conway, south carolina, usa",Secret Lives of the U.S. Presidents,Cormac O'Brien,2004,Quirk Books
TRAIN_000122,USER_00023,BOOK_139558,0,49,"conway, south carolina, usa",The Quilter's Legacy : An Elm Creek Quilts Novel,Jennifer Chiaverini,2003,Simon &amp; Schuster
TRAIN_000123,USER_00023,BOOK_156077,0,49,"conway, south carolina, usa",My Stroke of Luck,Kirk Douglas,2002,William Morrow &amp; Company
TRAIN_000124,USER_00023,BOOK_156229,0,49,"conway, south carolina, usa",Rails Under My Back,Jeffrey Renard Allen,2000,"Farrar, Straus and Giroux"
TRAIN_000125,USER_00023,BOOK_158826,0,49,"conway, south carolina, usa",The Orchard Keeper,Cormac McCarthy,1993,Vintage Books USA
TRAIN_000126,USER_00023,BOOK_174011,0,49,"conway, south carolina, usa",The Untold Story of Frankie Silver: Was She Unjustly Hanged?,Perry Deane Young,1998,Down Home Press
TRAIN_000127,USER_00023,BOOK_176047,8,49,"conway, south carolina, usa",The Runaway Quilt : An Elm Creek Quilts Novel,Jennifer Chiaverini,2002,Simon &amp; Schuster
TRAIN_000128,USER_00023,BOOK_183004,0,49,"conway, south carolina, usa",Outer Dark,CORMAC MCCARTHY,1993,Vintage
TRAIN_000129,USER_00023,BOOK_192924,9,49,"conway, south carolina, usa",Black Valley,Jim Brown,2003,Ballantine Books
TRAIN_000130,USER_00023,BOOK_212107,10,49,"conway, south carolina, usa",Kate Remembered,A. Scott Berg,2003,Putnam Publishing Group
TRAIN_000131,USER_00023,BOOK_214896,9,49,"conway, south carolina, usa",George and Laura : Portrait of an American Marriage,Christopher Andersen,2002,William Morrow
TRAIN_000132,USER_00023,BOOK_216818,0,49,"conway, south carolina, usa",Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books
TRAIN_000133,USER_00023,BOOK_223833,10,49,"conway, south carolina, usa",The Stones of Summer,Dow Mossman,2003,Barnes &amp; Noble Publishing
TRAIN_000134,USER_00023,BOOK_225088,0,49,"conway, south carolina, usa",Heaven Lake : A Novel,John Dalton,2004,Scribner
TRAIN_000135,USER_00023,BOOK_232700,0,49,"conway, south carolina, usa",The Shadow of the Wind,Carlos Ruiz Zafon,2004,The Penguin Press HC
TRAIN_000136,USER_00023,BOOK_232797,0,49,"conway, south carolina, usa",Julia's Hope,Leisha Kelly,2002,Revell
TRAIN_000137,USER_00023,BOOK_233253,0,49,"conway, south carolina, usa",Soon,Jerry B. Jenkins,2003,Tyndale House Publishers
TRAIN_000138,USER_00023,BOOK_233677,0,49,"conway, south carolina, usa",The Bone Parade,Mark Nykanen,2004,Hyperion
TRAIN_000139,USER_00023,BOOK_235978,0,49,"conway, south carolina, usa",The Opposite of Fate: A Book of Musings,Amy Tan,2003,G. P. Putnam's Sons
TRAIN_000140,USER_00023,BOOK_247460,0,49,"conway, south carolina, usa","Winner of the National Book Award: A Novel of Fame, Honor, and Really Bad Weather",Jincy Willett,2003,Thomas Dunne Books
TRAIN_000141,USER_00023,BOOK_266492,0,49,"conway, south carolina, usa","Reading from the Heart: Women, Literature, and the Search for True Love",Suzanne Juhasz,1995,Penguin Books
TRAIN_000142,USER_00024,BOOK_188428,0,35,"phila, pennsylvania, usa",Carolina Moon,Nora Roberts,2000,Putnam Pub Group
TRAIN_000143,USER_00025,BOOK_200309,8,58,"severna park, maryland, usa",Houses of Stone,Barbara Michaels,1993,Simon &amp; Schuster
TRAIN_000144,USER_00026,BOOK_248913,7,23,"fortitude valley, queensland, australia",Zigzag Street ;,Nick Earls,1997,Anchor
TRAIN_000145,USER_00027,BOOK_212987,7,68,"kirkland, washington, usa",The Stone Carvers,Jane Urquhart,2002,Viking Books
TRAIN_000146,USER_00028,BOOK_116126,0,26,"lancaster, new york, usa",Don't Sweat the Small Stuff for Women : Simple and Practical Ways to Do What Matters Most and Find Time for You,Kristine Carlson,2001,Hyperion Press
TRAIN_000147,USER_00029,BOOK_131275,5,32,"chilliwack, british columbia, canada",The Evening News,Arthur Hailey,1991,Dell
TRAIN_000148,USER_00029,BOOK_142763,10,32,"chilliwack, british columbia, canada",Cradle,Gentry Lee,1989,Warner Books
TRAIN_000149,USER_00029,BOOK_157983,5,32,"chilliwack, british columbia, canada",Strong Medicine,Arthur Hailey,1986,Dell
TRAIN_000150,USER_00029,BOOK_199602,10,32,"chilliwack, british columbia, canada",Heat: The Fire Investigators and Their War on Arson and Murder,Peter A. Micheels,1993,St Martins Pr
TRAIN_000151,USER_00030,BOOK_154816,9,23,"madison heights, michigan, usa",Devil's Honor,Debra Dier,1998,Leisure Books
TRAIN_000152,USER_00031,BOOK_062838,10,35,"davis, california, usa",Tamsin,Peter S. Beagle,2001,Roc
TRAIN_000153,USER_00031,BOOK_165900,10,35,"davis, california, usa",Cosmic Banditos: A Contrabandista's Quest for the Meaning of Life,A. C. Weisbecker,2001,New American Library
TRAIN_000154,USER_00031,BOOK_181373,10,35,"davis, california, usa","My Love, My Love, or the Peasant Girl",Rosa Guy,1991,Henry Holt &amp; Co
TRAIN_000155,USER_00032,BOOK_150224,8,35,"seattle, washington, usa",About the Author: A Novel,John Colapinto,2001,HarperCollins Publishers
TRAIN_000156,USER_00033,BOOK_082185,8,17,"olathe, kansas, usa",Seventh Son (Tales of Alvin Maker (Paperback)),Orson Scott Card,1988,Tor Books
TRAIN_000157,USER_00034,BOOK_096135,5,23,"portland, oregon, usa",Lost Souls,POPPY BRITE,1993,Dell
TRAIN_000158,USER_00035,BOOK_106884,5,35,"west vancouver, ,",Healthy Wealthy &amp; Dead (Phoebe Fairfax Mystery),Suzanne North,1995,NeWest Press
TRAIN_000159,USER_00038,BOOK_261587,0,34,"waxhaw, north carolina, usa",The Mummy or Ramses the Damned,Anne Rice,1991,Ballantine Books
TRAIN_000160,USER_00040,BOOK_074446,0,35,"irving, ,",AGENDA,Bob Woodward,1994,Simon &amp; Schuster
TRAIN_000161,USER_00040,BOOK_239154,0,35,"irving, ,",Daughter of Fortune: A Novel,Isabel Allende,2001,HarperTorch
TRAIN_000162,USER_00041,BOOK_097861,0,34,"hannover, niedersachsen, germany",Wild Animus,Rich Shapero,2004,Too Far
TRAIN_000163,USER_00042,BOOK_242431,10,34,"zeeland, michigan, usa",Peach &amp; Blue,Sarah S. Kilborne,1998,Dragonfly Books
TRAIN_000164,USER_00043,BOOK_175837,7,35,"sand springs, oklahoma, usa",Book of Numbers,Heron House,1978,A &amp; W Pub
TRAIN_000165,USER_00044,BOOK_017989,0,56,"bronx, new york, usa",Josh Hartnett,Lorelei Lanum,2002,Fireside
TRAIN_000166,USER_00045,BOOK_097120,0,35,"clearwater, florida, usa",The Cat Who Lived High,Lilian Jackson Braun,1991,Jove Books
TRAIN_000167,USER_00045,BOOK_143203,5,35,"clearwater, florida, usa",1st to Die: A Novel,James Patterson,2002,Warner Vision
TRAIN_000168,USER_00045,BOOK_146765,0,35,"clearwater, florida, usa",The Fool's Run,John Sandford,2004,Berkley Publishing Group
TRAIN_000169,USER_00045,BOOK_219409,0,35,"clearwater, florida, usa",The Cat Who Knew a Cardinal,Lilian Jackson Braun,1995,Jove Books
TRAIN_000170,USER_00046,BOOK_033215,0,36,"atoka, tennessee, usa",Remembrance,Jude Deveraux,1994,Pocket Books
TRAIN_000171,USER_00046,BOOK_044756,10,36,"atoka, tennessee, usa",The Reef,Nora Roberts,1999,Jove Books
TRAIN_000172,USER_00046,BOOK_137295,10,36,"atoka, tennessee, usa",Dark Challenge,Christine Feehan,2000,Love Spell
TRAIN_000173,USER_00046,BOOK_174573,10,36,"atoka, tennessee, usa",Rosehaven,Catherine Coulter,2000,Jove Books
TRAIN_000174,USER_00047,BOOK_073725,10,31,"shreveport, louisiana, usa",My Sanctuary,Jason Lammons,2003,1stBooks Library
TRAIN_000175,USER_00047,BOOK_195591,10,31,"shreveport, louisiana, usa",My Sanctuary,Jason Lammons,2003,1stBooks Library
TRAIN_000176,USER_00048,BOOK_051923,8,15,"mamaroneck, new york, usa",Truth or Dairy,Catherine Clark,2000,HarperTempest
TRAIN_000177,USER_00049,BOOK_007100,0,37,"gaylord, michigan, usa",Sara's Homecoming (Road to Avonlea No. 12),Heather Conkie,1993,Skylark
TRAIN_000178,USER_00049,BOOK_009120,10,37,"gaylord, michigan, usa",The Haunted Cabin Mystery #20 (The Boxcar Chilrdren),Gertrude Chandler Warner,1991,Scholastic Inc.
TRAIN_000179,USER_00049,BOOK_016167,9,37,"gaylord, michigan, usa",Mystery Girl,Warner Books,1992,Scholastic
TRAIN_000180,USER_00049,BOOK_077725,10,37,"gaylord, michigan, usa","The Mystery in Washington, D.C. (Boxcar Children Special (Paper), No 2)",Gertrude Chandler Warner,1994,Albert Whitman &amp; Company
